21.05,65.15
21.76,65.12
22.48,65.12
23.24,65.12
24.01,65.12
24.82,65.12
25.65,65.12
26.50,65.12
27.39,65.07
28.30,65.07
29.25,65.07
30.23,65.06
31.24,65.03
32.28,65.03
33.36,64.99
34.48,64.98
35.63,64.96
36.82,64.92
38.05,64.88
39.32,64.85
40.64,64.81
42.00,64.77
43.40,64.72
44.85,64.67
46.35,64.61
47.90,64.55
49.50,64.48
51.16,64.41
52.87,64.33
54.64,64.25
56.46,64.17
58.35,64.07
60.30,63.98
62.32,63.88
64.40,63.77
66.55,63.66
68.78,63.55
71.08,63.43
73.45,63.30
75.91,63.18
78.45,63.04
81.07,62.90
83.78,62.76
86.58,62.62
89.47,62.47
92.47,62.32
95.56,62.16
98.75,62.00
101.56,61.83
104.83,61.72
108.34,61.54
111.96,61.39
115.70,61.22
119.57,61.05
123.57,60.88
127.70,60.71
131.97,60.54
136.38,60.37
140.94,60.20
145.65,60.03
150.52,59.87
155.55,59.71
160.75,59.55
166.13,59.39
171.68,59.24
177.42,59.07
183.35,58.92
189.48,58.78
195.82,58.62
202.16,58.47
209.13,58.34
216.12,58.19
223.34,58.05
230.81,57.91
238.53,57.78
246.50,57.65
254.74,57.51
263.26,57.38
272.06,57.24
281.15,57.11
290.55,56.99
300.26,56.86
310.30,56.75
320.68,56.63
331.40,56.53
342.47,56.43
353.92,56.35
365.75,56.28
377.98,56.23
390.62,56.21
403.68,56.21
417.17,56.21
431.12,56.25
445.53,56.29
460.42,56.35
475.82,56.42
491.72,56.49
508.16,56.58
525.15,56.65
542.71,56.72
560.85,56.78
579.60,56.85
598.97,56.90
619.00,56.95
639.69,56.99
661.08,57.02
683.18,57.07
706.01,57.08
729.62,57.11
754.01,57.13
779.21,57.15
805.26,57.18
832.18,57.20
860.00,57.24
888.75,57.28
918.47,57.34
949.17,57.39
980.90,57.46
1013.69,57.54
1047.58,57.64
1082.60,57.74
1118.79,57.86
1156.20,58.00
1194.85,58.15
1234.79,58.33
1276.07,58.52
1318.73,58.72
1362.82,58.95
1408.37,59.19
1455.46,59.46
1504.11,59.74
1554.40,60.03
1606.36,60.34
1660.06,60.67
1715.56,61.02
1772.91,61.39
1832.18,61.77
1893.43,62.18
1956.73,62.61
2022.14,63.05
2096.00,63.54
2166.07,64.00
2238.48,64.43
2313.31,64.84
2390.65,65.19
2470.57,65.49
2553.16,65.72
2638.51,65.85
2726.72,65.92
2817.87,65.86
2912.07,65.70
3009.43,65.46
3110.03,65.13
3214.00,64.75
3321.44,64.34
3432.48,63.93
3547.23,63.55
3665.82,63.21
3788.36,62.93
3915.01,62.70
4045.89,62.53
4181.15,62.37
4320.92,62.24
4465.37,62.09
4614.65,61.91
4768.92,61.67
4928.35,61.39
5093.10,61.02
5263.37,60.61
5439.32,60.16
5621.16,59.70
5809.08,59.26
6003.27,58.88
6203.97,58.55
6411.37,58.31
6625.70,58.16
6847.20,58.10
7076.10,58.12
7312.66,58.20
7557.12,58.32
7809.76,58.46
8070.84,58.59
8340.65,58.64
8619.48,58.56
8907.63,58.34
9205.42,57.95
9484.76,57.49
9728.86,57.04
9964.33,56.60
10220.77,56.13
10515.19,55.68
10850.49,55.25
11213.22,54.91
11588.08,54.66
11975.48,54.48
12375.82,54.32
12789.55,54.19
13217.11,54.06
13658.96,53.96
14115.58,53.86
14587.47,53.76
15075.13,53.57
15555.83,53.23
15980.03,52.80
16342.36,52.37
16607.55,51.91
16893.28,51.48
17189.68,51.04
17430.11,50.61
17689.66,50.17
17953.07,49.70
18172.06,49.26
18363.19,48.87
18584.09,48.46
18807.64,48.03
19009.52,47.64
